"product_id","product_name","category","sub_category","unit_cost","unit_price"
"PROD-0001","Ergonomic Mesh Chair","Furniture","Chairs","279.12","457.38"
"PROD-0002","Executive Leather Chair","Furniture","Chairs","88.67","139.84"
"PROD-0003","Stackable Guest Chair","Furniture","Chairs","96.09","143.76"
"PROD-0004","Task Chair","Furniture","Chairs","323.59","582.19"
"PROD-0005","Adjustable Height Desk","Furniture","Tables","160.73","260.96"
"PROD-0006","Round Conference Table","Furniture","Tables","399.97","707.44"
"PROD-0007","Folding Table","Furniture","Tables","288.56","409.65"
"PROD-0008","Glass Top Table","Furniture","Tables","86.52","147.23"
"PROD-0009","5-Shelf Bookcase","Furniture","Bookcases","260.47","458.46"
"PROD-0010","Corner Bookcase","Furniture","Bookcases","133.69","182.99"
"PROD-0011","Ladder Bookcase","Furniture","Bookcases","342.18","450.10"
"PROD-0012","Desk Lamp","Furniture","Furnishings","179.83","276.57"
"PROD-0013","Wall Clock","Furniture","Furnishings","308.80","517.66"
"PROD-0014","Bulletin Board","Furniture","Furnishings","112.61","186.96"
"PROD-0015","3-Ring Binder","Office Supplies","Binders","59.08","89.11"
"PROD-0016","View Binder","Office Supplies","Binders","24.12","36.30"
"PROD-0017","Zipper Binder","Office Supplies","Binders","49.87","93.59"
"PROD-0018","Copy Paper 500ct","Office Supplies","Paper","50.24","78.43"
"PROD-0019","Color Printer Paper","Office Supplies","Paper","58.03","103.58"
"PROD-0020","Sticky Notes","Office Supplies","Paper","30.56","53.13"
"PROD-0021","File Cabinet","Office Supplies","Storage","51.55","69.69"
"PROD-0022","Storage Box","Office Supplies","Storage","16.90","28.16"
"PROD-0023","Rolling Cart","Office Supplies","Storage","4.64","6.53"
"PROD-0024","Marker Set","Office Supplies","Art","48.48","88.62"
"PROD-0025","Pencil Pack","Office Supplies","Art","18.75","35.04"
"PROD-0026","Highlighter Set","Office Supplies","Art","44.04","77.29"
"PROD-0027","Address Labels","Office Supplies","Labels","39.82","70.70"
"PROD-0028","Shipping Labels","Office Supplies","Labels","15.63","23.19"
"PROD-0029","Color Labels","Office Supplies","Labels","29.98","46.62"
"PROD-0030","Wireless Headset","Technology","Phones","363.31","531.36"
"PROD-0031","Smartphone Dock","Technology","Phones","128.59","176.39"
"PROD-0032","Office Phone System","Technology","Phones","125.17","178.97"
"PROD-0033","Laser Printer","Technology","Machines","489.24","790.01"
"PROD-0034","Label Maker","Technology","Machines","129.29","185.73"
"PROD-0035","Fax Machine","Technology","Machines","285.70","418.44"
"PROD-0036","USB Hub","Technology","Accessories","360.81","496.39"
"PROD-0037","Laptop Stand","Technology","Accessories","441.45","725.94"
"PROD-0038","Wireless Mouse","Technology","Accessories","124.81","166.10"
"PROD-0039","Desktop Copier","Technology","Copiers","418.17","644.16"
"PROD-0040","Multifunction Copier","Technology","Copiers","64.66","89.85"
